Job ID,Agency,Business Title,Civil Service Title,Level,Job Category,Full-Time/Part-Time indicator,Salary Range From,Salary Range To,Salary Frequency,Work Location,Division/Work Unit,Job Description,Minimum Qual Requirements,Preferred Skills,Hours/Shift,Work Location 1,Residency Requirement,Posting Date,Post Until,Posting Updated,Process Date,average_salary,Normalized_Salary,salary_band,Posting_Date,Posting_Year,Posting_Month,is_full_time,job_level_numeric,work_city,work_state,days_since_posting
420781,DEPT OF HEALTH/MENTAL HYGIENE,Application Development Intern,COLLEGE AIDE (ALL CITY DEPTS),1,"Technology, Data & Innovation",F,15.5,16.19,Hourly,421 East 26th Street NY NY,OCME-Admin,"The Office of Chief Medical Examiner investigates cases of persons who die within New York City from criminal violence, by accident, by suicide, suddenly when in apparent health, when unattended by a physician, in a correctional facility or in any suspicious or unusual manner or where an application is made pursuant to law for a permit to cremate a body of a person.    We exist to provide answers in support of families, victims and community during times of profound need.  The core values of the OCME are to put the mission of the agency first, to be truly dedicated and to have integrity in every aspect of our professional life. Office of Chief Medical Examiner is seeking qualified students for a paid internship with the Information Technology Application Development Team. This intern will work under the supervision of application development staff to perform beginning level application development tasks on existing applications.  Candidates course of study should be related to Information Technology or Computer Science.  Candidate must be comfortable and have experience writing code in a 3rd generation language (C, C++, C#, Javaâ€¦). Candidate should be interested in pursuing a career in application development.   *Due to the necessary technical support duties of this position, candidate may be required to work at various agency locations throughout the City of New York and work various shifts such as weekends and/or evening shifts.","For Assignment Level I:  Matriculation at an accredited college or graduate school. Employment is conditioned upon continuance as a student in a college or graduate school.  For Assignment Level II (Information Technology):  Matriculation at an accredited college or graduate school. Employment is conditioned upon continuance as a student in a college or graduate school with a specific course of study in information technology, computer science, management information systems, data processing, or closely related field, including or supplemented by 9 semester credits in an acceptable course of study.  For Assignment Level III (Information Technology Fellow):  Matriculation at an accredited college or graduate school. Employment is conditioned upon continuance as a student in a college or graduate school with a specific course of study in information technology, computer science, management information systems, data processing, or other area relevant to the information technology project(s) assigned, including or supplemented by 9 semester credits in an acceptable course of study. Appointments to this Assignment Level will be made by the Technology Steering Committee through the Department of Information Technology and Telecommunications.    SPECIAL NOTE  Maximum tenure for all Assignment Levels in the title of College Aide is 6 years. No student shall be employed more than half-time in any week in which classes in which the student is enrolled are in session. Students may be employed full-time during their vacation periods.",Experience with C# development and Microsoft SQL Server a plus but not required.,"","","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",2019-12-03T00:00:00.000,"",2019-12-03T00:00:00.000,2019-12-17T00:00:00.000,15.845,32957.600000000006,Low,2019-12-03,2019,12,1,Junior,421 East 26th Street NY NY,"",""
420781,DEPT OF HEALTH/MENTAL HYGIENE,Application Development Intern,COLLEGE AIDE (ALL CITY DEPTS),1,"Technology, Data & Innovation",F,15.5,16.19,Hourly,421 East 26th Street NY NY,OCME-Admin,"The Office of Chief Medical Examiner investigates cases of persons who die within New York City from criminal violence, by accident, by suicide, suddenly when in apparent health, when unattended by a physician, in a correctional facility or in any suspicious or unusual manner or where an application is made pursuant to law for a permit to cremate a body of a person.    We exist to provide answers in support of families, victims and community during times of profound need.  The core values of the OCME are to put the mission of the agency first, to be truly dedicated and to have integrity in every aspect of our professional life. Office of Chief Medical Examiner is seeking qualified students for a paid internship with the Information Technology Application Development Team. This intern will work under the supervision of application development staff to perform beginning level application development tasks on existing applications.  Candidates course of study should be related to Information Technology or Computer Science.  Candidate must be comfortable and have experience writing code in a 3rd generation language (C, C++, C#, Javaâ€¦). Candidate should be interested in pursuing a career in application development.   *Due to the necessary technical support duties of this position, candidate may be required to work at various agency locations throughout the City of New York and work various shifts such as weekends and/or evening shifts.","For Assignment Level I:  Matriculation at an accredited college or graduate school. Employment is conditioned upon continuance as a student in a college or graduate school.  For Assignment Level II (Information Technology):  Matriculation at an accredited college or graduate school. Employment is conditioned upon continuance as a student in a college or graduate school with a specific course of study in information technology, computer science, management information systems, data processing, or closely related field, including or supplemented by 9 semester credits in an acceptable course of study.  For Assignment Level III (Information Technology Fellow):  Matriculation at an accredited college or graduate school. Employment is conditioned upon continuance as a student in a college or graduate school with a specific course of study in information technology, computer science, management information systems, data processing, or other area relevant to the information technology project(s) assigned, including or supplemented by 9 semester credits in an acceptable course of study. Appointments to this Assignment Level will be made by the Technology Steering Committee through the Department of Information Technology and Telecommunications.    SPECIAL NOTE  Maximum tenure for all Assignment Levels in the title of College Aide is 6 years. No student shall be employed more than half-time in any week in which classes in which the student is enrolled are in session. Students may be employed full-time during their vacation periods.",Experience with C# development and Microsoft SQL Server a plus but not required.,"","","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",2019-12-03T00:00:00.000,"",2019-12-03T00:00:00.000,2019-12-17T00:00:00.000,15.845,32957.600000000006,Low,2019-12-03,2019,12,1,Junior,421 East 26th Street NY NY,"",""
420784,HRA/DEPT OF SOCIAL SERVICES,"EXECUTIVE DIRECTOR, FINANCIAL AND REPORTING SYSTEMS",COMPUTER SYSTEMS MANAGER,M3,"Technology, Data & Innovation Social Services",F,69940.0,139426.0,Annual,15 Metrotech,Mgmt Information System-MGR,"Information Technology Services (ITS)/Business Solutions/DSS Technology is recruiting for one (1) Computer Systems Manager M-III, to function as the Executive Director of Financial and Reporting Systems, who under the managerial direction of the Assistant Deputy Commissioner of the Office of DSS Technology will direct several divisions of computer professionals involved with the analysis, design, development, implementation and maintenance of computer systems.   The Executive Director is responsible for the management of multiple divisions that support the technology solutions for the Office of the Chief Financial Officer, Office of Legal Affairs and Data Reporting for ITS.   The Executive Director will:  â€¢ Build relationships with senior leadership to ensure strategic alignment and support of business    priorities; define and develop overall business objectives and prioritize major initiatives and    information system projects that will fulfill these objectives.   â€¢ Meet regularly with the Assistant Deputy Commissioner, ITS and DSS program executives to    review the status of projects and discuss project strategies and issues.  â€¢ Oversee the activities of the directors with regard to the design, development and delivery of    software solutions, planning and implementing agile work plans, preparation of status reports,    and providing status of assigned projects at user review meetings.   â€¢ Plan, oversee and coordinate the upgrade and modification of existing information systems to    take advantage of newer technologies.   â€¢ Manage the Portfolioâ€™s staff, consultant, and project budgets and ensure individual operations    are within budget.","\"1. A master's degree in computer science from an accredited college and three years of progressively more responsible, full-time, satisfactory experience using information technology in computer applications programming, systems programming, computer systems development, data telecommunications, database administration, planning of data/information processing, user services, or area networks at least 18 months of this experience must have been in an administrative, managerial or executive capacity in the areas of computer applications programming, systems programming, computer systems development, data telecommunications, data base administration, or planning of data processing or in the supervision of staff performing these duties; or  2. A baccalaureate degree from an accredited college and four years of experience as described in \"\"1\"\" above; or  3. A four-year high school diploma or its educational equivalent approved by a State's department of education or recognized accrediting organization and six years of experience as described in \"\"1\"\" above; or  4. A satisfactory combination of education and experience equivalent to \"\"1\"\"","\"\"2\"\" or \"\"3\"\" above. However",managerial,"executive or supervisory experience as described in  \"\"1\"\" above.  Qualification Requirements (continued)  NOTE: The following types of experience are not acceptable: superficial use of preprogrammed software without complex programming","implementation or management of the product; use of word processing packages; use of a hand held calculator; primarily the entering or updating of data in a system; the operation of data processing hardware or consoles.\"","â€¢ Extensive experience in leading and managing multiple application development teams engaged in    software development.  â€¢ Ability to prioritize projects to maximize the utilization of resources.  â€¢ Excellent administrative, management, strategic and operational planning skills.  â€¢ Deep knowledge of the application development and deployment life cycle.  â€¢ Excellent organizational and communication skills and detailed follow through skills to monitor and    report on the status of development and to resolve issues.  â€¢ Knowledgeable of current computer software, hardware and telecommunications technologies.  â€¢ Ability to formulate automated solutions that utilize state of the art technology to solve Agencyâ€™s issues    and achieve Agencyâ€™s goals.","**LOAN FORGIVENESS  The federal government provides student loan forgiveness through its Public Service Loan Forgiveness Program (PSLF) to all qualifying public service employees. Working with the DSS/HRA/DHS qualifies you as a public service employee and you may be able to take advantage of this program while working fulltime and meeting the programâ€™s other requirements.  Please visit the Public Service Loan Forgiveness Program site to view the eligibility requirements: https://studentaid.ed.gov/sa/repay-loans/forgiveness-cancellation/public-service  In addition, the Human Resources Administration/Department of Social Services offers competitive salaries and the following benefits:  Generous Pension Plans (The New York Employees' Retirement System). 401(k) and Roth 457 Retirement Savings Programs. U.S. Savings Bonds Flexible Spending Program. Health Benefits, Dental, Vision Coverage, Prescription Drug Program. Training and Professional Development. Opportunity for Scholarship; College Savings Program. Paid Holidays and Generous Annual Leave.","\"APPLICANTS MUST BE PERMANENT IN THE COMPUTER SYSTEMS MANAGER CIVIL SERVICE TITLE OR YOUR COVER LETTER MUST INDICATE THAT YOU HAVE TAKEN AND PASSED THE COMPUTER SYSTEMS MANAGER PROMOTIONAL EXAM # 9507, AND BE IMMEDIATELY REACHABLE.  This position is open to qualified persons with a disability who are eligible for the 55-a Program. Please indicate in your cover letter that you would like to be considered for the position under the 55-a Program.  CLICK \"\"APPLY NOW\"\" BUTTON\"",Managerial Flex,104683.0,104683.0,High,"","","",1,Partner,15 Metrotech,"",""
420786,OFF OF PAYROLL ADMINISTRATION,Help Desk Level 1 Representative,CLERICAL ASSOCIATE,2,"Technology, Data & Innovation Policy, Research & Analysis",F,32850.0,48940.0,Annual,5 Manhattan West,Citywide User Support,"The Office of Payroll Administration (OPA) is recruiting a Clerical Associate Level 2 (or comparable title) to serve as Help Desk Level 1 Representative for the Citywide User Support Division. Under general direction, the Help Desk Level 1 Representative will serve as the â€œfront-lineâ€ of the FISA-OPA agencyâ€™s Help Desk operation, providing caller assistance and problem management services to City agencies regarding City systems under both FISA-OPA.  These systems include CityTime, the Financial Management System (FMS), the Payee Information Portal (PIP), the Payroll Management System (PMS), City Human Resource Management System (CHRMS) Remedy and others.   The Help Desk Level 1 Representative will:   â€¢	Respond to telephone and email inquiries and determine the information required with professionalism and tact;  â€¢	Answer routine and frequently asked questions regarding user and system issues;  â€¢	Escalate moderate and complex user and system issues when required;  â€¢	Apprise users of the status and progress of pending requests;  â€¢	Provide efficient and effective problem resolution for callers; â€¢	Initiate system password resets for authorized users; â€¢	Record and track information from initial call to resolution using the Remedy IT Service Management System; â€¢	Assist in collecting data to be used in researching user issues that may indicate larger system problems;  â€¢	Prepare statistical reports for management review; â€¢	Provide system documentation and forms as required; â€¢	Run simple system procedures and;  â€¢	Perform special projects; as assigned.",Qualification Requirements  A four-year high school diploma or its educational equivalent approved by a State's department of education or a recognized accrediting organization and one year of satisfactory clerical experience.  Skills Requirement  Keyboard familiarity with the ability to type at a minimum of 100 key strokes (20 words) per minute.,"â€¢	Basic knowledge of PMS, CityTime, FMS, PIP, CHRMS or Remedy   â€¢	Excellent work ethic and attention to detail  â€¢	Excellent verbal and written communication skills â€¢	Excellent telephone skills with a professional demeanor  â€¢	Ability to work independently or as part of a team â€¢	Ability to work well and efficiently in a fast-paced environment  â€¢	Ability to maintain confidentiality â€¢	Must currently be a City employee who is permanent in the title of Clerical Associate or a comparable title.",35 hours weekly/Day,"5 Manhattan West, NY, NY  10001","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",2019-10-29T00:00:00.000,"",2019-11-06T00:00:00.000,2019-12-17T00:00:00.000,40895.0,40895.0,Low,2019-10-29,2019,10,1,Mid,5 Manhattan West,"",""
420798,DEPARTMENT OF FINANCE,Property Valuation Modeler,CITY RESEARCH SCIENTIST,2,"Policy, Research & Analysis",F,75504.0,86830.0,Annual,"66 John Street, New York, Ny",Property Modeling & Research,"NYC Department of Finance (DOF) is responsible for administering the tax revenue laws of the city fairly, efficiently, and transparently to instill public confidence and encourage compliance while providing exceptional customer service.  The Property Valuation & Tax Mapping is responsible for the valuation of more than one million properties in the City of New York and overseeing assessments and valuations in a fair and equitable manner as part of the Cityâ€™s real property tax system. The valuations enable the efficient and effective collection of the majority of revenues for the City of New York.    An excellent opportunity is available in the Division's Property Modeling Group to assist in the mass valuation of New York City's one million tax parcels. The selected candidate will manage projects related to valuation model development, provide support to other modelers, and work closely with management as part of the Property Modeling & Research Team.   The selected candidate's responsibilities will include, but are not limited to the following:   â€¢	Conduct extensive research and analysis of property related data, such as sales, cost, market trends, economic conditions and other factors impacting property valuation and integrate into modeling. â€¢	Develop complex statistical models to estimate property values for various types of property using SAS and implement into CAMA system. â€¢	Develop SQL scripts to upload property valuation model data into CAMA system. â€¢	Perform geographic analysis of model data and results using GIS and/or Spatial analytical methods. â€¢	Support the function of valuation by providing summary analysis using tables, graphs, trends, charts and maps. â€¢	Address taxpayer concerns via the Request for Review, Clerical Errors process and Office of Tax Payer Advocate inquiries; Revalue properties and program remission amounts for processing. â€¢	Techniques used may include spatial modeling, Monte Carlo simulation, linear and non-linear programming, dynamic programming, queuing and other stochastic-process models, mark decision processes, econometric methods, data envelopment analysis, neural networks, expert systems, decision analysis, and the analytic hierarchy process.","\"1.  For Assignment Level I (only physical, biological and environmental sciences and public health) A master's degree from an accredited college or university with a specialization in an appropriate field of physical, biological or environmental science or in public health.  To be appointed to Assignment Level II and above, candidates must have:  1. A doctorate degree from an accredited college or university with specialization in an appropriate field of physical, biological, environmental or social science and one year of full-time experience in a responsible supervisory, administrative or research capacity in the appropriate field of specialization; or  2. A master's degree from an accredited college or university with specialization in an appropriate field of physical, biological, environmental or social science and three years of responsible full-time research experience in the appropriate field of specialization; or  3. Education and/or experience which is equivalent to \"\"1\"\" or \"\"2\"\" above. However","all candidates must have at least a master's degree in an appropriate field of specialization and at least two years of experience described in \"\"2\"\" above. Two years as a City Research Scientist Level I can be substituted for the experience required in \"\"1\"\" and \"\"2\"\" above.    NOTE:  Probationary Period  Appointments to this position are subject to a minimum probationary period of one year.\"","\"Click the \"\"Apply Now\"\" button.  While we appreciate every applicant's interest","only those under consideration will be contacted.\"","66 John Street, New York, NY (Current location but could be subject to change)","","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",2019-12-04T00:00:00.000,2019-12-18T00:00:00.000,81167.0,81167.0,Medium,"","","",1,Mid,66 John Street,New York,""
420798,DEPARTMENT OF FINANCE,Property Valuation Modeler,CITY RESEARCH SCIENTIST,2,"Policy, Research & Analysis",F,75504.0,86830.0,Annual,"66 John Street, New York, Ny",Property Modeling & Research,"NYC Department of Finance (DOF) is responsible for administering the tax revenue laws of the city fairly, efficiently, and transparently to instill public confidence and encourage compliance while providing exceptional customer service.  The Property Valuation & Tax Mapping is responsible for the valuation of more than one million properties in the City of New York and overseeing assessments and valuations in a fair and equitable manner as part of the Cityâ€™s real property tax system. The valuations enable the efficient and effective collection of the majority of revenues for the City of New York.    An excellent opportunity is available in the Division's Property Modeling Group to assist in the mass valuation of New York City's one million tax parcels. The selected candidate will manage projects related to valuation model development, provide support to other modelers, and work closely with management as part of the Property Modeling & Research Team.   The selected candidate's responsibilities will include, but are not limited to the following:   â€¢	Conduct extensive research and analysis of property related data, such as sales, cost, market trends, economic conditions and other factors impacting property valuation and integrate into modeling. â€¢	Develop complex statistical models to estimate property values for various types of property using SAS and implement into CAMA system. â€¢	Develop SQL scripts to upload property valuation model data into CAMA system. â€¢	Perform geographic analysis of model data and results using GIS and/or Spatial analytical methods. â€¢	Support the function of valuation by providing summary analysis using tables, graphs, trends, charts and maps. â€¢	Address taxpayer concerns via the Request for Review, Clerical Errors process and Office of Tax Payer Advocate inquiries; Revalue properties and program remission amounts for processing. â€¢	Techniques used may include spatial modeling, Monte Carlo simulation, linear and non-linear programming, dynamic programming, queuing and other stochastic-process models, mark decision processes, econometric methods, data envelopment analysis, neural networks, expert systems, decision analysis, and the analytic hierarchy process.","\"1.  For Assignment Level I (only physical, biological and environmental sciences and public health) A master's degree from an accredited college or university with a specialization in an appropriate field of physical, biological or environmental science or in public health.  To be appointed to Assignment Level II and above, candidates must have:  1. A doctorate degree from an accredited college or university with specialization in an appropriate field of physical, biological, environmental or social science and one year of full-time experience in a responsible supervisory, administrative or research capacity in the appropriate field of specialization; or  2. A master's degree from an accredited college or university with specialization in an appropriate field of physical, biological, environmental or social science and three years of responsible full-time research experience in the appropriate field of specialization; or  3. Education and/or experience which is equivalent to \"\"1\"\" or \"\"2\"\" above. However","all candidates must have at least a master's degree in an appropriate field of specialization and at least two years of experience described in \"\"2\"\" above. Two years as a City Research Scientist Level I can be substituted for the experience required in \"\"1\"\" and \"\"2\"\" above.    NOTE:  Probationary Period  Appointments to this position are subject to a minimum probationary period of one year.\"","\"Click the \"\"Apply Now\"\" button.  While we appreciate every applicant's interest","only those under consideration will be contacted.\"","66 John Street, New York, NY (Current location but could be subject to change)","","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",2019-12-04T00:00:00.000,2019-12-18T00:00:00.000,81167.0,81167.0,Medium,"","","",1,Mid,66 John Street,New York,""
420803,OFFICE OF MANAGEMENT & BUDGET,College Aide  Asset Management,COLLEGE AIDE (ALL CITY DEPTS),1,"Engineering, Architecture, & Planning Finance, Accounting, & Procurement Policy, Research & Analysis",P,15.5,19.9,Hourly,255 Greenwich Street,Interns/Hourly Employees,"DIVISION:		Technical Services â€“ Asset Management   JOB TITLE: 		One (1) College Aide   CONTROL CODE: 	TVA-20-02   The following is a vacancy within OMB not previously announced:  SUMMARY:  The City of New York, Office of Management & Budget Asset Management unit is responsible for a citywide program to report on the condition of the Cityâ€™s fixed infrastructure. The Asset Information Management (AIMS) program is used to gather building condition data and compute repair and replacement costs for each major asset.  The building inventory includes museums, hospitals schools, parks, courthouses, police precincts, firehouses, libraries, homeless shelters, and correctional facilities.  An annual published report shows repair, replacement and maintenance costs for each major building.  This publication serves as a planning document for the various City agencies and the public.  JOB DESCRIPTION:  The duties of this position encompass working with OMB and deriving material quantity takeoffs of existing buildings.  â€¢	Use building modeling techniques to compute component quantities. â€¢	Perform quantity take-off for buildings from architectural drawings â€¢	Enhance accuracy of building data from architectural drawings, and field measurements. â€¢	Compile field data and prepare asset identification forms  â€¢	Building asset site visits and field surveys as necessary.","For Assignment Level I:  Matriculation at an accredited college or graduate school. Employment is conditioned upon continuance as a student in a college or graduate school.  For Assignment Level II (Information Technology):  Matriculation at an accredited college or graduate school. Employment is conditioned upon continuance as a student in a college or graduate school with a specific course of study in information technology, computer science, management information systems, data processing, or closely related field, including or supplemented by 9 semester credits in an acceptable course of study.  For Assignment Level III (Information Technology Fellow):  Matriculation at an accredited college or graduate school. Employment is conditioned upon continuance as a student in a college or graduate school with a specific course of study in information technology, computer science, management information systems, data processing, or other area relevant to the information technology project(s) assigned, including or supplemented by 9 semester credits in an acceptable course of study. Appointments to this Assignment Level will be made by the Technology Steering Committee through the Department of Information Technology and Telecommunications.    SPECIAL NOTE  Maximum tenure for all Assignment Levels in the title of College Aide is 6 years. No student shall be employed more than half-time in any week in which classes in which the student is enrolled are in session. Students may be employed full-time during their vacation periods.","QUALIFICATIONS:  Proficiency with AutoCAD or other drafting software is required.  Candidates should show a willingness to learn other drafting software packages. Candidate should be comfortable with three dimensional visuals, have an understanding of design and working drawings of built projects, have strong organizational skills, good communication skills and the ability to demonstrate attention to detail.","",255 Greenwich Street,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",2019-10-28T00:00:00.000,"",2019-10-28T00:00:00.000,2019-12-17T00:00:00.000,17.7,36816.0,Low,2019-10-28,2019,10,0,Junior,255 Greenwich Street,"",""
420803,OFFICE OF MANAGEMENT & BUDGET,College Aide  Asset Management,COLLEGE AIDE (ALL CITY DEPTS),1,"Engineering, Architecture, & Planning Finance, Accounting, & Procurement Policy, Research & Analysis",P,15.5,19.9,Hourly,255 Greenwich Street,Interns/Hourly Employees,"DIVISION:		Technical Services â€“ Asset Management   JOB TITLE: 		One (1) College Aide   CONTROL CODE: 	TVA-20-02   The following is a vacancy within OMB not previously announced:  SUMMARY:  The City of New York, Office of Management & Budget Asset Management unit is responsible for a citywide program to report on the condition of the Cityâ€™s fixed infrastructure. The Asset Information Management (AIMS) program is used to gather building condition data and compute repair and replacement costs for each major asset.  The building inventory includes museums, hospitals schools, parks, courthouses, police precincts, firehouses, libraries, homeless shelters, and correctional facilities.  An annual published report shows repair, replacement and maintenance costs for each major building.  This publication serves as a planning document for the various City agencies and the public.  JOB DESCRIPTION:  The duties of this position encompass working with OMB and deriving material quantity takeoffs of existing buildings.  â€¢	Use building modeling techniques to compute component quantities. â€¢	Perform quantity take-off for buildings from architectural drawings â€¢	Enhance accuracy of building data from architectural drawings, and field measurements. â€¢	Compile field data and prepare asset identification forms  â€¢	Building asset site visits and field surveys as necessary.","For Assignment Level I:  Matriculation at an accredited college or graduate school. Employment is conditioned upon continuance as a student in a college or graduate school.  For Assignment Level II (Information Technology):  Matriculation at an accredited college or graduate school. Employment is conditioned upon continuance as a student in a college or graduate school with a specific course of study in information technology, computer science, management information systems, data processing, or closely related field, including or supplemented by 9 semester credits in an acceptable course of study.  For Assignment Level III (Information Technology Fellow):  Matriculation at an accredited college or graduate school. Employment is conditioned upon continuance as a student in a college or graduate school with a specific course of study in information technology, computer science, management information systems, data processing, or other area relevant to the information technology project(s) assigned, including or supplemented by 9 semester credits in an acceptable course of study. Appointments to this Assignment Level will be made by the Technology Steering Committee through the Department of Information Technology and Telecommunications.    SPECIAL NOTE  Maximum tenure for all Assignment Levels in the title of College Aide is 6 years. No student shall be employed more than half-time in any week in which classes in which the student is enrolled are in session. Students may be employed full-time during their vacation periods.","QUALIFICATIONS:  Proficiency with AutoCAD or other drafting software is required.  Candidates should show a willingness to learn other drafting software packages. Candidate should be comfortable with three dimensional visuals, have an understanding of design and working drawings of built projects, have strong organizational skills, good communication skills and the ability to demonstrate attention to detail.","",255 Greenwich Street,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",2019-10-28T00:00:00.000,"",2019-10-28T00:00:00.000,2019-12-17T00:00:00.000,17.7,36816.0,Low,2019-10-28,2019,10,0,Junior,255 Greenwich Street,"",""
420804,TAXI & LIMOUSINE COMMISSION,Prosecuting Attorney,AGENCY ATTORNEY INTERNE,0,Legal Affairs,F,62397.0,71757.0,Annual,"31-00 47 Ave, 3 FL, LIC NY",Prosecution Division,"The New York City Taxi and Limousine Commission (TLC) is the agency responsible for regulating New York City's taxicab and for-hire vehicle industry.  TLC licenses and regulates over 130,000 vehicles and more than  175,000 drivers, making it the most active taxi and limousine regulatory agency in the United States.  Aside from vehicles and drivers, TLC also regulates taxicab agents and for-hire vehicle bases, including popular app-based transportation services. The TLC plays a pivotal role in furthering public safety within New York City and is a lead agency in a citywide effort to reduce traffic-related injuries.  One of the largest components of TLCâ€™s operations is the enforcement of agency and administrative code regulations.    The Prosecution Division investigates and prosecutes all summonses issued by TLC which consist of administrative, field and consumer-initiated complaints. Our division prosecutes a wide range of violations including reckless driving, unlicensed operation, illegal street pickups, harassment and leaving the scene of an accident.  Prosecuting Attorneys represent TLC on cases heard before the Hearings Division of the Office of Administrative Trials and Hearings and will gain robust hands-on litigation experience as they rotate through various prosecutorial assignments, including Consumer Intake, Settlements, Hearings and Appeals.    Duties and responsibilities will include, but are not limited to:  â€¢             Managing a daily caseload and independently representing the Taxi and Limousine Commission at administrative hearings, including preparing and presenting witnesses and evidence at trial.  â€¢             Evaluating case strengths and weaknesses to effectively negotiate plea and settlement agreements with respondents and/or their attorneys or representatives.  â€¢             Interviewing consumer complainants to obtain complaint details and determine appropriate charging violations and settlement offers.  â€¢             Reviewing hearing dispositions for summonses dismissed at OATH; drafting appeals and Chair petitions when appropriate.",Graduation from an accredited United States law school as defined in the Rules of the New York Court of Appeals (Sections 520.3 or 520.5) or admission to the New York State Bar.,"Interested candidates should have excellent written and verbal communication skills, effective problem-solving skills, and the ability to prioritize, manage time, and engage in multiple tasks in a fast-paced environment. Although not required, the successful applicant will likely have one or more of the following academic or professional experiences: litigation, and/or customer relations.  Bilingual proficiency preferred.","","31-00 47 Ave, 3 FL, LIC NY","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",2019-10-29T00:00:00.000,"",2019-10-29T00:00:00.000,2019-12-17T00:00:00.000,67077.0,67077.0,Medium,2019-10-29,2019,10,1,Trainee,31-00 47 Ave,3 FL,""
420804,TAXI & LIMOUSINE COMMISSION,Prosecuting Attorney,AGENCY ATTORNEY INTERNE,0,Legal Affairs,F,62397.0,71757.0,Annual,"31-00 47 Ave, 3 FL, LIC NY",Prosecution Division,"The New York City Taxi and Limousine Commission (TLC) is the agency responsible for regulating New York City's taxicab and for-hire vehicle industry.  TLC licenses and regulates over 130,000 vehicles and more than  175,000 drivers, making it the most active taxi and limousine regulatory agency in the United States.  Aside from vehicles and drivers, TLC also regulates taxicab agents and for-hire vehicle bases, including popular app-based transportation services. The TLC plays a pivotal role in furthering public safety within New York City and is a lead agency in a citywide effort to reduce traffic-related injuries.  One of the largest components of TLCâ€™s operations is the enforcement of agency and administrative code regulations.    The Prosecution Division investigates and prosecutes all summonses issued by TLC which consist of administrative, field and consumer-initiated complaints. Our division prosecutes a wide range of violations including reckless driving, unlicensed operation, illegal street pickups, harassment and leaving the scene of an accident.  Prosecuting Attorneys represent TLC on cases heard before the Hearings Division of the Office of Administrative Trials and Hearings and will gain robust hands-on litigation experience as they rotate through various prosecutorial assignments, including Consumer Intake, Settlements, Hearings and Appeals.    Duties and responsibilities will include, but are not limited to:  â€¢             Managing a daily caseload and independently representing the Taxi and Limousine Commission at administrative hearings, including preparing and presenting witnesses and evidence at trial.  â€¢             Evaluating case strengths and weaknesses to effectively negotiate plea and settlement agreements with respondents and/or their attorneys or representatives.  â€¢             Interviewing consumer complainants to obtain complaint details and determine appropriate charging violations and settlement offers.  â€¢             Reviewing hearing dispositions for summonses dismissed at OATH; drafting appeals and Chair petitions when appropriate.",Graduation from an accredited United States law school as defined in the Rules of the New York Court of Appeals (Sections 520.3 or 520.5) or admission to the New York State Bar.,"Interested candidates should have excellent written and verbal communication skills, effective problem-solving skills, and the ability to prioritize, manage time, and engage in multiple tasks in a fast-paced environment. Although not required, the successful applicant will likely have one or more of the following academic or professional experiences: litigation, and/or customer relations.  Bilingual proficiency preferred.","","31-00 47 Ave, 3 FL, LIC NY","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",2019-10-29T00:00:00.000,"",2019-10-29T00:00:00.000,2019-12-17T00:00:00.000,67077.0,67077.0,Medium,2019-10-29,2019,10,1,Trainee,31-00 47 Ave,3 FL,""
